,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,DEL,BOM,08:00:00,2,02:10:00,10:10:00,2,G8334,G8,Go First,4589,12595,26937
1,DEL,BOM,10:55:00,2,02:15:00,13:10:00,2,G8338,G8,Go First,4589,14031,19437
2,DEL,BOM,19:45:00,2,02:15:00,22:00:00,2,G8346,G8,Go First,4589,13707,25640
3,DEL,BOM,20:50:00,2,02:15:00,23:05:00,2,G8330,G8,Go First,4589,13983,23722
4,DEL,BOM,07:20:00,5,02:15:00,09:35:00,5,SG8701,SG,SpiceJet,4813,12208,22403
5,DEL,BOM,19:45:00,5,02:15:00,22:00:00,5,SG8169,SG,SpiceJet,4882,13297,29144
6,DEL,BOM,19:45:00,6,02:15:00,22:00:00,6,SG8169,SG,SpiceJet,4882,12314,27224
7,DEL,BOM,21:40:00,2,02:15:00,23:55:00,2,SG711,SG,SpiceJet,4882,14393,20751
8,DEL,BOM,21:40:00,5,02:15:00,23:55:00,5,SG711,SG,SpiceJet,4882,14421,22883
9,DEL,BOM,07:20:00,4,02:15:00,09:35:00,4,SG8701,SG,SpiceJet,4882,15542,27479
10,DEL,BOM,21:40:00,6,02:15:00,23:55:00,6,SG711,SG,SpiceJet,4882,15847,28923
11,DEL,BOM,07:20:00,3,02:15:00,09:35:00,3,SG8701,SG,SpiceJet,4882,15608,23199
12,DEL,BOM,19:45:00,2,02:15:00,22:00:00,2,SG8169,SG,SpiceJet,4882,15844,22910
13,DEL,BOM,19:00:00,3,02:10:00,21:10:00,3,SG8709,SG,SpiceJet,4940,12511,25045
14,DEL,BOM,19:00:00,6,02:10:00,21:10:00,6,SG8709,SG,SpiceJet,4940,13201,27814
15,DEL,BOM,07:20:00,6,02:15:00,09:35:00,6,SG8701,SG,SpiceJet,4940,15825,26058
16,DEL,BOM,21:40:00,3,02:15:00,23:55:00,3,SG711,SG,SpiceJet,4940,15078,22487
17,DEL,BOM,19:45:00,3,02:15:00,22:00:00,3,SG8169,SG,SpiceJet,4940,13836,23659
18,DEL,BOM,20:50:00,4,02:15:00,23:05:00,4,G8330,G8,Go First,5054,15973,25513
19,DEL,BOM,14:30:00,1,02:10:00,16:40:00,1,G8336,G8,Go First,5055,16899,27589
20,DEL,BOM,14:30:00,4,02:10:00,16:40:00,4,G8336,G8,Go First,5055,15781,26584
21,DEL,BOM,22:45:00,4,02:15:00,01:00:00,5,G8354,G8,Go First,5055,12924,27888
22,DEL,BOM,18:20:00,6,02:15:00,20:35:00,6,G8323,G8,Go First,5055,14378,23622
23,DEL,BOM,20:50:00,1,02:15:00,23:05:00,1,G8330,G8,Go First,5055,16805,27718
24,DEL,BOM,20:50:00,5,02:15:00,23:05:00,5,G8330,G8,Go First,5055,16102,27049
25,DEL,BLR,06:05:00,1,02:50:00,08:55:00,1,SG191,SG,SpiceJet,6353,16926,35302
26,DEL,BLR,08:10:00,6,02:30:00,10:40:00,6,I5740,I5,AirAsia India,7026,20842,30795
27,DEL,BLR,08:10:00,5,02:30:00,10:40:00,5,I5740,I5,AirAsia India,7026,19910,33634
28,DEL,BLR,08:10:00,1,02:30:00,10:40:00,1,I5740,I5,AirAsia India,7026,21825,31507
29,DEL,BLR,21:40:00,0,02:50:00,00:30:00,1,I51732,I5,AirAsia India,7026,24003,30845
30,DEL,BLR,21:40:00,1,02:50:00,00:30:00,2,I51732,I5,AirAsia India,7026,20167,31804
31,DEL,BLR,18:45:00,1,02:55:00,21:40:00,1,I5857,I5,AirAsia India,7026,19390,33958
32,DEL,BLR,20:30:00,0,02:55:00,23:25:00,0,G8119,G8,Go First,7105,22768,42535
33,DEL,BLR,05:50:00,1,02:45:00,08:35:00,1,G8113,G8,Go First,7106,24637,41630
34,DEL,BLR,05:50:00,6,02:45:00,08:35:00,6,G8113,G8,Go First,7106,24403,29853
35,DEL,BLR,05:50:00,0,02:45:00,08:35:00,0,G8113,G8,Go First,7106,24596,30374
36,DEL,BLR,05:50:00,4,02:45:00,08:35:00,4,G8113,G8,Go First,7106,20815,35669
37,DEL,BLR,20:30:00,1,02:55:00,23:25:00,1,G8119,G8,Go First,7106,23805,39447
38,DEL,BLR,08:10:00,4,02:30:00,10:40:00,4,I5740,I5,AirAsia India,7202,21900,33328
39,DEL,BLR,21:40:00,4,02:50:00,00:30:00,5,I51732,I5,AirAsia India,7203,22074,39144
40,DEL,BLR,20:00:00,1,02:30:00,22:30:00,1,SG537,SG,SpiceJet,8380,28899,41288
41,DEL,BLR,20:30:00,6,02:55:00,23:25:00,6,G8119,G8,Go First,8483,29385,43965
42,DEL,BLR,06:05:00,4,02:50:00,08:55:00,4,SG191,SG,SpiceJet,8484,23570,48797
43,DEL,BLR,09:35:00,5,02:50:00,12:25:00,5,I51529,I5,AirAsia India,8590,21640,44308
44,DEL,BLR,09:35:00,6,02:50:00,12:25:00,6,I51529,I5,AirAsia India,8590,22206,40490
45,DEL,BLR,18:45:00,6,02:55:00,21:40:00,6,I5857,I5,AirAsia India,8590,23621,37952
46,DEL,BLR,18:45:00,4,02:55:00,21:40:00,4,I5857,I5,AirAsia India,8590,21685,46578
47,DEL,BLR,18:45:00,0,02:55:00,21:40:00,0,I5857,I5,AirAsia India,8591,25064,39083
48,DEL,BLR,20:30:00,5,02:55:00,23:25:00,5,G8119,G8,Go First,11038,36930,49783
49,DEL,MAA,13:45:00,1,02:50:00,16:35:00,1,UK839,UK,Vistara,10462,11891,58775
50,DEL,MAA,19:55:00,1,02:50:00,22:45:00,1,UK835,UK,Vistara,10462,11891,44498
51,DEL,MAA,08:45:00,3,02:40:00,11:25:00,3,SG8207,SG,SpiceJet,10644,28831,55065
52,DEL,MAA,08:45:00,4,02:40:00,11:25:00,4,SG8207,SG,SpiceJet,10644,30487,53079
53,DEL,MAA,08:45:00,5,02:40:00,11:25:00,5,SG8207,SG,SpiceJet,10644,27349,44194
54,DEL,MAA,08:45:00,6,02:40:00,11:25:00,6,SG8207,SG,SpiceJet,10644,32059,44406
55,DEL,MAA,18:25:00,4,02:45:00,21:10:00,4,SG8103,SG,SpiceJet,10644,31756,60355
56,DEL,MAA,18:25:00,5,02:45:00,21:10:00,5,SG8103,SG,SpiceJet,10644,35507,42743
57,DEL,MAA,18:25:00,1,02:45:00,21:10:00,1,SG8103,SG,SpiceJet,10644,28109,61318
58,DEL,MAA,19:55:00,2,02:50:00,22:45:00,2,UK835,UK,Vistara,10644,11891,30449
