index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,ATL,LAX,19:05:00,2,01:45:00,20:50:00,2,NK1301,NK,Spirit Airlines,20853,64216,121246
1,ATL,LAX,19:05:00,1,01:45:00,20:50:00,1,NK1301,NK,Spirit Airlines,23590,79440,106894
2,ATL,LAX,19:05:00,5,01:45:00,20:50:00,5,NK1301,NK,Spirit Airlines,23590,76103,128876
3,ATL,LAX,19:05:00,3,01:45:00,20:50:00,3,NK1301,NK,Spirit Airlines,23590,68321,115358
4,ATL,LAX,10:16:00,4,01:44:00,12:00:00,4,NK1301,NK,Spirit Airlines,32712,101808,144216
5,ATL,LAX,19:05:00,6,01:45:00,20:50:00,6,NK1301,NK,Spirit Airlines,32712,93849,155700
6,ATL,LAX,22:46:00,6,01:34:00,00:20:00,0,DL1137,DL,Delta Airlines,44537,62648,245117
7,ATL,LAX,20:53:00,6,01:36:00,22:29:00,6,DL2331,DL,Delta Airlines,44537,111792,232716
8,ATL,LAX,17:00:00,6,01:30:00,18:30:00,6,DL383,DL,Delta Airlines,45326,137691,266080
9,ATL,LAX,12:15:00,4,01:32:00,13:47:00,4,DL2066,DL,Delta Airlines,45326,139179,246164
10,ATL,LAX,11:07:00,6,01:33:00,12:40:00,6,DL515,DL,Delta Airlines,45326,126311,233844
11,ATL,LAX,22:46:00,4,01:34:00,00:20:00,5,DL1137,DL,Delta Airlines,45326,62648,191610
12,ATL,LAX,08:45:00,4,01:35:00,10:20:00,4,DL345,DL,Delta Airlines,45326,62648,237876
13,ATL,LAX,20:53:00,4,01:36:00,22:29:00,4,DL2331,DL,Delta Airlines,45326,62648,251431
14,ATL,LAX,20:53:00,5,01:36:00,22:29:00,5,DL2331,DL,Delta Airlines,45326,154624,254188
15,ATL,LAX,15:10:00,4,01:38:00,16:48:00,4,DL1678,DL,Delta Airlines,45326,118352,268495
16,ATL,LAX,17:50:00,5,01:40:00,19:30:00,5,DL2864,DL,Delta Airlines,45326,142883,222298
17,ATL,LAX,16:35:00,4,01:40:00,18:15:00,4,DL335,DL,Delta Airlines,45326,62648,239679
18,ATL,LAX,19:30:00,6,01:40:00,21:10:00,6,DL303,DL,Delta Airlines,45326,136200,249881
19,ATL,LAX,18:00:00,6,01:40:00,19:40:00,6,DL2864,DL,Delta Airlines,45326,115969,224545
20,ATL,LAX,17:50:00,4,01:40:00,19:30:00,4,DL2864,DL,Delta Airlines,45326,156929,189009
21,ATL,LAX,16:35:00,5,01:40:00,18:15:00,5,DL335,DL,Delta Airlines,45326,62648,183508
22,ATL,LAX,10:00:00,4,01:40:00,11:40:00,4,DL516,DL,Delta Airlines,45326,62648,238300
23,ATL,LAX,14:10:00,4,01:40:00,15:50:00,4,DL2284,DL,Delta Airlines,45326,148179,206747
24,ATL,LAX,14:10:00,6,01:40:00,15:50:00,6,DL2284,DL,Delta Airlines,45326,154169,251528
25,ATL,ORD,14:45:00,1,01:14:00,15:59:00,1,NK762,NK,Spirit Airlines,8748,29613,50244
26,ATL,ORD,14:45:00,5,01:14:00,15:59:00,5,NK762,NK,Spirit Airlines,8748,26931,41288
27,ATL,ORD,14:45:00,2,01:14:00,15:59:00,2,NK762,NK,Spirit Airlines,12154,42066,72746
28,ATL,ORD,14:45:00,3,01:14:00,15:59:00,3,NK762,NK,Spirit Airlines,14844,47594,88959
29,ATL,ORD,22:30:00,5,00:57:00,23:27:00,5,DL2976,DL,Delta Airlines,16402,20465,88003
30,ATL,ORD,19:59:00,5,01:09:00,21:08:00,5,DL1453,DL,Delta Airlines,16402,19616,75828
31,ATL,ORD,06:30:00,5,01:28:00,07:58:00,5,UA5284,UA,United Airlines,16413,21992,68460
32,ATL,ORD,08:00:00,5,01:14:00,09:14:00,5,AA2893,AA,American Airlines,16458,53848,92110
33,ATL,ORD,15:05:00,5,01:17:00,16:22:00,5,AA3266,AA,American Airlines,16458,46032,75789
34,ATL,ORD,18:24:00,5,01:21:00,19:45:00,5,AA3688,AA,American Airlines,16458,43404,73280
35,ATL,ORD,10:56:00,2,01:12:00,12:08:00,2,UA299,UA,United Airlines,17130,22672,86848
36,ATL,ORD,10:56:00,0,01:12:00,12:08:00,0,UA299,UA,United Airlines,17130,22672,83669
37,ATL,ORD,10:56:00,1,01:12:00,12:08:00,1,UA299,UA,United Airlines,17130,22672,100002
38,ATL,ORD,12:35:00,2,01:23:00,13:58:00,2,UA5339,UA,United Airlines,17130,22672,75974
39,ATL,ORD,12:40:00,0,01:23:00,14:03:00,0,UA5339,UA,United Airlines,17130,22672,92068
40,ATL,ORD,12:35:00,1,01:23:00,13:58:00,1,UA5339,UA,United Airlines,17130,22672,70165
41,ATL,ORD,06:30:00,2,01:28:00,07:58:00,2,UA5284,UA,United Airlines,17130,22672,80902
42,ATL,ORD,06:30:00,1,01:28:00,07:58:00,1,UA5284,UA,United Airlines,17130,22672,95874
43,ATL,ORD,22:30:00,1,00:57:00,23:27:00,1,DL2976,DL,Delta Airlines,17175,59199,78601
44,ATL,ORD,22:30:00,4,00:57:00,23:27:00,4,DL2976,DL,Delta Airlines,17175,50492,70367
45,ATL,ORD,07:15:00,6,01:00:00,08:15:00,6,DL2822,DL,Delta Airlines,17175,20465,90164
46,ATL,ORD,08:00:00,2,01:14:00,09:14:00,2,AA2893,AA,American Airlines,17175,48371,77725
47,ATL,ORD,08:00:00,1,01:14:00,09:14:00,1,AA2893,AA,American Airlines,17175,54428,90623
48,ATL,ORD,11:18:00,1,01:19:00,12:37:00,1,AA4541,AA,American Airlines,17175,56901,88747
49,ATL,ORD,08:00:00,3,01:14:00,09:14:00,3,AA2893,AA,American Airlines,17369,47016,75241
50,ATL,LHR,19:20:00,2,13:20:00,08:40:00,3,VS104,VS,Virgin Atlantic,103422,224440,544379
51,ATL,LHR,17:45:00,2,13:20:00,07:05:00,3,VS4044,VS,Virgin Atlantic,103422,300784,509231
52,ATL,LHR,17:45:00,1,13:20:00,07:05:00,2,VS4044,VS,Virgin Atlantic,103422,285016,428506
